shipment_issue,carrier,shipping_method,distance,package_type,location,customer_tier,weather_conditions,holiday_period,pop_density
0,Carrier_C,Expedited,300.2683353067353,Medium,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_C,Standard,1430.0884622472986,Medium,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_A,Expedited,1007.8171778827168,Medium,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Standard,143.13822173478977,Large,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_B,Expedited,40.52516604234484,Medium,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_C,Expedited,934.3769002216843,Medium,Rural,Premium,Rain,Holiday_Period_No,Low
0,Carrier_A,Expedited,526.0429879937547,Medium,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Standard,158.06016892626604,Medium,Rural,Basic,Rain,Holiday_Period_No,Low
0,Carrier_A,Standard,1411.8935763202458,Medium,Urban,Basic,Clear,Holiday_Period_No,High
1,Carrier_A,Standard,70.1096753520794,Medium,Urban,Basic,Snow,Holiday_Period_No,High
0,Carrier_A,Standard,1756.0895784232966,Medium,Suburban,Basic,Clear,Holiday_Period_No,Medium
1,Carrier_A,Standard,924.5212274965476,Large,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_A,Standard,1037.7412976414782,Large,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_A,Expedited,1246.5569435361353,Large,Urban,Premium,Clear,Holiday_Period_No,High
0,Carrier_B,Expedited,189.84131887958574,Medium,Rural,Premium,Clear,Holiday_Period_No,Low
0,Carrier_B,Expedited,798.3336007092383,Large,Urban,Basic,Clear,Holiday_Period_Yes,High
0,Carrier_A,Standard,1234.9846995479197,Medium,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_A,Standard,1700.0267776642163,Large,Suburban,Basic,Clear,Holiday_Period_No,Medium
